M2_vector,s0_vector,f_Bcstar_projector_GeV,f_Bcstar_standard_GeV
5.0,40.0,0.7894671864040131,0.45579909258673346
5.0,42.0,0.8303782139934726,0.47941908537833205
5.0,44.0,0.8597608082632398,0.49638313408947166
6.0,40.0,0.7203328777090925,0.4158843808514823
6.0,42.0,0.7661425478397227,0.44233260623288956
6.0,44.0,0.8009470554241178,0.46242699805575255
7.0,40.0,0.6764314846768947,0.3905378997665434
7.0,42.0,0.7259509409529558,0.41912797117765105
7.0,44.0,0.765073401095943,0.44171533407256525
8.0,40.0,0.6461861755230458,0.3730757623848452
8.0,42.0,0.6985991359715518,0.40333639920881537
8.0,44.0,0.7412124341868713,0.427939198404488
