topology,current,class,sector,support,borel_activity,count,delta_external
bbar_photon,A,open_pair_GG,all_positive,"{1,2,3}",double_borel_active,67,t1*(-P2*t3 + p2*t2 + 2*p2*t3)/(t1 + t2 + t3)
bbar_photon,A,open_pair_GG,contact_or_derivative,"{1,2}",single_virtuality,9,p2*t1*t2/(t1 + t2)
bbar_photon,A,open_pair_GG,contact_or_derivative,"{1,3}",double_borel_active,14,t1*t3*(-P2 + 2*p2)/(t1 + t3)
bbar_photon,A,open_pair_GG,contact_or_derivative,"{2,3}",no_external_virtuality,6,0
bbar_photon,A,single_line_G2,all_positive,"{1,2,3}",double_borel_active,33,t1*(-P2*t3 + p2*t2 + 2*p2*t3)/(t1 + t2 + t3)
bbar_photon,A,single_line_G2,contact_or_derivative,"{1,2}",single_virtuality,13,p2*t1*t2/(t1 + t2)
bbar_photon,A,single_line_G2,contact_or_derivative,"{1,3}",double_borel_active,23,t1*t3*(-P2 + 2*p2)/(t1 + t3)
bbar_photon,A,single_line_G2,contact_or_derivative,{1},no_external_virtuality,1,0
bbar_photon,A,single_line_G2,contact_or_derivative,"{2,3}",no_external_virtuality,5,0
bbar_photon,A,single_line_G2,contact_or_derivative,{2},no_external_virtuality,1,0
bbar_photon,A,single_line_G2,contact_or_derivative,{3},no_external_virtuality,2,0
bbar_photon,B,open_pair_GG,all_positive,"{1,2,3}",double_borel_active,98,t1*(-P2*t3 + p2*t2 + 2*p2*t3)/(t1 + t2 + t3)
bbar_photon,B,open_pair_GG,contact_or_derivative,"{1,2}",single_virtuality,23,p2*t1*t2/(t1 + t2)
bbar_photon,B,open_pair_GG,contact_or_derivative,"{1,3}",double_borel_active,34,t1*t3*(-P2 + 2*p2)/(t1 + t3)
bbar_photon,B,open_pair_GG,contact_or_derivative,"{2,3}",no_external_virtuality,10,0
bbar_photon,B,single_line_G2,all_positive,"{1,2,3}",double_borel_active,73,t1*(-P2*t3 + p2*t2 + 2*p2*t3)/(t1 + t2 + t3)
bbar_photon,B,single_line_G2,contact_or_derivative,"{1,2}",single_virtuality,45,p2*t1*t2/(t1 + t2)
bbar_photon,B,single_line_G2,contact_or_derivative,"{1,3}",double_borel_active,60,t1*t3*(-P2 + 2*p2)/(t1 + t3)
bbar_photon,B,single_line_G2,contact_or_derivative,{1},no_external_virtuality,6,0
bbar_photon,B,single_line_G2,contact_or_derivative,"{2,3}",no_external_virtuality,18,0
bbar_photon,B,single_line_G2,contact_or_derivative,{2},no_external_virtuality,6,0
bbar_photon,B,single_line_G2,contact_or_derivative,{3},no_external_virtuality,5,0
c_photon,A,open_pair_GG,all_positive,"{1,2,3}",double_borel_active,67,t3*(P2*t1 + p2*t2)/(t1 + t2 + t3)
c_photon,A,open_pair_GG,contact_or_derivative,"{1,2}",no_external_virtuality,6,0
c_photon,A,open_pair_GG,contact_or_derivative,"{1,3}",single_virtuality,14,P2*t1*t3/(t1 + t3)
c_photon,A,open_pair_GG,contact_or_derivative,"{2,3}",single_virtuality,9,p2*t2*t3/(t2 + t3)
c_photon,A,single_line_G2,all_positive,"{1,2,3}",double_borel_active,33,t3*(P2*t1 + p2*t2)/(t1 + t2 + t3)
c_photon,A,single_line_G2,contact_or_derivative,"{1,2}",no_external_virtuality,5,0
c_photon,A,single_line_G2,contact_or_derivative,"{1,3}",single_virtuality,23,P2*t1*t3/(t1 + t3)
c_photon,A,single_line_G2,contact_or_derivative,{1},no_external_virtuality,2,0
c_photon,A,single_line_G2,contact_or_derivative,"{2,3}",single_virtuality,13,p2*t2*t3/(t2 + t3)
c_photon,A,single_line_G2,contact_or_derivative,{2},no_external_virtuality,1,0
c_photon,A,single_line_G2,contact_or_derivative,{3},no_external_virtuality,1,0
c_photon,B,open_pair_GG,all_positive,"{1,2,3}",double_borel_active,97,t3*(P2*t1 + p2*t2)/(t1 + t2 + t3)
c_photon,B,open_pair_GG,contact_or_derivative,"{1,2}",no_external_virtuality,10,0
c_photon,B,open_pair_GG,contact_or_derivative,"{1,3}",single_virtuality,32,P2*t1*t3/(t1 + t3)
c_photon,B,open_pair_GG,contact_or_derivative,"{2,3}",single_virtuality,22,p2*t2*t3/(t2 + t3)
c_photon,B,single_line_G2,all_positive,"{1,2,3}",double_borel_active,70,t3*(P2*t1 + p2*t2)/(t1 + t2 + t3)
c_photon,B,single_line_G2,contact_or_derivative,"{1,2}",no_external_virtuality,15,0
c_photon,B,single_line_G2,contact_or_derivative,"{1,3}",single_virtuality,59,P2*t1*t3/(t1 + t3)
c_photon,B,single_line_G2,contact_or_derivative,{1},no_external_virtuality,5,0
c_photon,B,single_line_G2,contact_or_derivative,"{2,3}",single_virtuality,47,p2*t2*t3/(t2 + t3)
c_photon,B,single_line_G2,contact_or_derivative,{2},no_external_virtuality,6,0
c_photon,B,single_line_G2,contact_or_derivative,{3},no_external_virtuality,6,0
