M2,s0,mQ,mV,f_Dsstar_GeV,perturbative_integral
2.5,6.5,1.27,2.1122,0.21186423569888935,0.033617294286025085
2.75,6.5,1.27,2.1122,0.21218604337267494,0.03965862802076817
3.0,6.5,1.27,2.1122,0.21259872995260476,0.045576316580296955
3.25,6.5,1.27,2.1122,0.21305029011652687,0.05131721614964972
3.5,6.5,1.27,2.1122,0.2135119118906518,0.05684950772602876
3.75,6.5,1.27,2.1122,0.2139676123144714,0.06215619340327389
4.0,6.5,1.27,2.1122,0.214408702054808,0.06723040901698396
2.5,7.0,1.27,2.1122,0.2232925534010969,0.03734185898941951
2.75,7.0,1.27,2.1122,0.22455950261307972,0.04441881128735525
3.0,7.0,1.27,2.1122,0.22580944710012937,0.051416452188378016
3.25,7.0,1.27,2.1122,0.22700625716279232,0.05826053726718743
3.5,7.0,1.27,2.1122,0.2281344986105531,0.06490294722028574
3.75,7.0,1.27,2.1122,0.22918936323565944,0.07131440196353964
4.0,7.0,1.27,2.1122,0.2301714770042466,0.07747898934187765
2.5,7.5,1.27,2.1122,0.2332197885003175,0.04073598752466356
2.75,7.5,1.27,2.1122,0.23546094967835132,0.048836197258239976
3.0,7.5,1.27,2.1122,0.2375847005390663,0.056918681669100635
3.25,7.5,1.27,2.1122,0.2395673300365068,0.06488645003264039
3.5,7.5,1.27,2.1122,0.24140458200819204,0.07267307010048742
3.75,7.5,1.27,2.1122,0.24310142510427438,0.08023490415121043
4.0,7.5,1.27,2.1122,0.2446669192006732,0.08754501969784464
