M2,s0,theta_deg,Pi_AA,Pi_AB,Pi_BB,Pi_1,Pi_2,f1_GeV,f2_GeV
7.0,53.0,42.97371857764589,0.02156765602206461,-0.015660020532678297,0.01934867020348887,0.004758888683693532,0.03615743754185995,0.26324827045981225,0.7303741773794709
7.0,54.0,43.077142028459534,0.022140306802186118,-0.01608502558941823,0.019977791468199387,0.00493772268993177,0.03718037558045374,0.2681489503310878,0.7406337082651422
7.0,55.0,43.17484691963958,0.02266368536024706,-0.016473985683712968,0.02056172999935558,0.005105231846350134,0.03812018351325251,0.2726594085355047,0.7499357878930942
8.0,53.0,43.16969130631117,0.04571010562150135,-0.033231831233688044,0.04145796659565583,0.010284264657139112,0.07688380756001807,0.25786425013881864,0.7089852374439217
8.0,54.0,43.289447920184244,0.04719859108219753,-0.03433654489121976,0.04309327309663145,0.010748087331241003,0.07954377684758798,0.26361499337345934,0.7211454286740482
8.0,55.0,43.403825203377075,0.048583510100098926,-0.03536577943572874,0.04463847588957982,0.01119024795994273,0.08203173802973601,0.26898271278863983,0.732336546069448
9.0,53.0,43.32213038299556,0.08256531585661771,-0.06008485635004126,0.07551907345425861,0.018854136491020745,0.13923025281985557,0.25461219868610374,0.6952361568441848
9.0,54.0,43.45507375689152,0.0856944009286909,-0.062407182358205276,0.07895686675410983,0.019827593859504132,0.14482367382329658,0.26110241639767595,0.7090638173926644
9.0,55.0,43.58301768521686,0.08864647886000762,-0.06460109059145598,0.08225066218825504,0.020768376311913875,0.15012876473634879,0.2672250432576832,0.7219340070243987
