scenario,ensemble,observable,median,p16,p84,mean,std,value_Gamma2460_keV,value_Gamma2536_keV,min,max
legacy_chi_condensate,central,central,,,,,,37.88828689609898,6.033784786521778,,
legacy_chi_condensate,theta_fixed,Gamma2460_keV,38.29297194837059,28.159995201986995,52.340159085732026,39.837194664278925,12.653038817682862,,,11.99574420218134,89.97005420266522
legacy_chi_condensate,theta_fixed,Gamma2536_keV,5.88739942635676,2.8148024707735337,11.372284971730613,7.185336515755807,5.233901818960439,,,0.16831610088878848,40.89387366261993
legacy_chi_condensate,theta_fixed,G2460,-0.4271679309220262,-0.49863460477338056,-0.36573971883141193,-0.4299004059757372,0.06867403812361755,,,-0.6539234925913154,-0.23880064582458932
legacy_chi_condensate,theta_fixed,G2536,-0.13773382774667547,-0.1914512330756341,-0.09525045279102988,-0.14342232552734882,0.05089307598286068,,,-0.3629547398674994,-0.0232817057594214
legacy_chi_condensate,theta_scan_25_45,Gamma2460_keV,37.50862339421438,26.534132184526474,50.84104322525924,38.94482256933419,12.632145757169514,,,10.010129497204664,86.40528123518882
legacy_chi_condensate,theta_scan_25_45,Gamma2536_keV,6.0481107316161875,2.1210661806038567,13.164094631226517,7.704844236434019,6.3511716062929375,,,9.28899567620532e-05,41.74260921901772
legacy_chi_condensate,theta_scan_25_45,G2460,-0.42208325366776456,-0.4929039681733151,-0.3549575240097371,-0.42480564443013874,0.06955477462670663,,,-0.6399848731679694,-0.2181728786157077
legacy_chi_condensate,theta_scan_25_45,G2536,-0.13961841993295634,-0.20596367715658098,-0.08265659641737402,-0.14427172753837567,0.06342013478116064,,,-0.366838056605749,0.006048839645867443
lattice_fperp_s,central,central,,,,,,15.473969687776242,0.773796072405199,,
lattice_fperp_s,theta_fixed,Gamma2460_keV,15.359939685875787,12.562638972314272,19.621732213586693,15.88174297188765,3.505401543323799,,,7.459176980580775,28.36698974959611
lattice_fperp_s,theta_fixed,Gamma2536_keV,0.7319075333834668,0.1917807069320598,1.8712964393843032,1.0476132051738032,0.9614129110632504,,,1.1944065528463028e-05,5.7026472024404775
lattice_fperp_s,theta_fixed,G2460,-0.26994436146937034,-0.3052067615704209,-0.24444780526012702,-0.2732396681780652,0.029996846119099824,,,-0.36750577450712374,-0.18817162600386125
lattice_fperp_s,theta_fixed,G2536,-0.048563257786281615,-0.07765267556122138,-0.02485944003296431,-0.05183263164142473,0.026281684848841046,,,-0.13554080937848498,0.004661801173536609
lattice_fperp_s,theta_scan_25_45,Gamma2460_keV,15.596253516798058,12.322048775156986,19.469372878036996,15.897013727465776,3.51765483142201,,,8.297658048694299,29.878066280677817
lattice_fperp_s,theta_scan_25_45,Gamma2536_keV,0.826913777884151,0.07842399552492745,2.676416404613221,1.29589614889436,1.4954364915928153,,,3.005969427993081e-06,11.24841964839557
lattice_fperp_s,theta_scan_25_45,G2460,-0.27249418119984403,-0.30447823362131976,-0.24243306000888323,-0.27336279595971624,0.030090727615116608,,,-0.37672426877978227,-0.19868401773285654
lattice_fperp_s,theta_scan_25_45,G2536,-0.05163345068159372,-0.09284871218488228,-0.012219715583300183,-0.05212056820632941,0.03824280832212194,,,-0.19043311995828074,0.04457248500247994
